StateName,Date,Value
AK,2018-04-30,283108.25
AL,2018-04-30,180962.45
AR,2018-04-30,147640.57894736843
AZ,2018-04-30,270981.54545454547
CA,2018-04-30,496057.67647058825
CO,2018-04-30,483439.29411764705
CT,2018-04-30,355810.2
DE,2018-04-30,262116.5
FL,2018-04-30,270344.5517241379
GA,2018-04-30,183091.7837837838
HI,2018-04-30,687287.0
IA,2018-04-30,168000.52631578947
ID,2018-04-30,300767.07692307694
IL,2018-04-30,128174.03703703704
IN,2018-04-30,140568.83333333334
KS,2018-04-30,138971.42105263157
KY,2018-04-30,167420.75
LA,2018-04-30,187596.64705882352
MA,2018-04-30,510855.3333333333
MD,2018-04-30,270064.0
ME,2018-04-30,212058.25
MI,2018-04-30,169318.74193548388
MN,2018-04-30,209787.85714285713
MO,2018-04-30,148192.04
MS,2018-04-30,171201.64705882352
MT,2018-04-30,318661.85714285716
NC,2018-04-30,225484.43243243243
ND,2018-04-30,226133.2857142857
NE,2018-04-30,186927.25
NH,2018-04-30,244398.5
NJ,2018-04-30,265758.5
NM,2018-04-30,217425.94444444444
NV,2018-04-30,318899.44444444444
NY,2018-04-30,177579.23076923078
OH,2018-04-30,133490.84782608695
OK,2018-04-30,149400.1
OR,2018-04-30,331948.5
PA,2018-04-30,154739.20588235295
RI,2018-04-30,311567.0
SC,2018-04-30,228342.57142857142
SD,2018-04-30,224088.0
TN,2018-04-30,184787.61538461538
TX,2018-04-30,210218.38095238095
UT,2018-04-30,377363.1111111111
VA,2018-04-30,226144.85714285713
VT,2018-04-30,265883.25
WA,2018-04-30,317311.25
WI,2018-04-30,198478.86956521738
WV,2018-04-30,148881.25
WY,2018-04-30,294822.22222222225
AK,2018-05-31,289966.5
AL,2018-05-31,183291.9
AR,2018-05-31,148665.52631578947
AZ,2018-05-31,273802.36363636365
CA,2018-05-31,500220.29411764705
CO,2018-05-31,472403.9411764706
CT,2018-05-31,361983.4
DE,2018-05-31,265233.5
FL,2018-05-31,271606.5172413793
GA,2018-05-31,186936.16216216216
HI,2018-05-31,703958.25
IA,2018-05-31,170748.0
ID,2018-05-31,301242.6153846154
IL,2018-05-31,131435.8148148148
IN,2018-05-31,146345.63888888888
KS,2018-05-31,141317.1052631579
KY,2018-05-31,170219.3
LA,2018-05-31,189897.64705882352
MA,2018-05-31,527088.6666666666
MD,2018-05-31,279025.0
ME,2018-05-31,216367.0
MI,2018-05-31,174947.32258064515
MN,2018-05-31,215836.42857142858
MO,2018-05-31,152067.16
MS,2018-05-31,172616.58823529413
MT,2018-05-31,317938.0
NC,2018-05-31,228065.83783783784
ND,2018-05-31,229650.14285714287
NE,2018-05-31,193683.5
NH,2018-05-31,248179.0
NJ,2018-05-31,272749.5
NM,2018-05-31,219067.61111111112
NV,2018-05-31,322089.22222222225
NY,2018-05-31,181808.07692307694
OH,2018-05-31,138240.47826086957
OK,2018-05-31,152054.15
OR,2018-05-31,338614.75
PA,2018-05-31,158094.79411764705
RI,2018-05-31,321267.0
SC,2018-05-31,232574.7142857143
SD,2018-05-31,228815.66666666666
TN,2018-05-31,188863.96153846153
TX,2018-05-31,214000.87301587302
UT,2018-05-31,369100.1111111111
VA,2018-05-31,229652.14285714287
VT,2018-05-31,269093.5
WA,2018-05-31,325004.1
WI,2018-05-31,200667.34782608695
WV,2018-05-31,151185.25
WY,2018-05-31,297879.3333333333
AK,2018-06-30,297571.0
AL,2018-06-30,186206.85
AR,2018-06-30,150321.31578947368
AZ,2018-06-30,276956.9090909091
CA,2018-06-30,505040.5882352941
CO,2018-06-30,466071.9411764706
CT,2018-06-30,364423.2
DE,2018-06-30,267050.0
FL,2018-06-30,273491.5862068966
GA,2018-06-30,189519.37837837837
HI,2018-06-30,716208.25
IA,2018-06-30,172968.15789473685
ID,2018-06-30,301682.1538461539
IL,2018-06-30,133462.88888888888
IN,2018-06-30,150539.41666666666
KS,2018-06-30,142653.52631578947
KY,2018-06-30,172749.2
LA,2018-06-30,190920.70588235295
MA,2018-06-30,542172.5
MD,2018-06-30,285797.3333333333
ME,2018-06-30,220651.75
MI,2018-06-30,179537.06451612903
MN,2018-06-30,219534.52380952382
MO,2018-06-30,153911.96
MS,2018-06-30,172690.17647058822
MT,2018-06-30,322023.85714285716
NC,2018-06-30,229609.8108108108
ND,2018-06-30,230723.85714285713
NE,2018-06-30,197802.33333333334
NH,2018-06-30,252258.33333333334
NJ,2018-06-30,278232.75
NM,2018-06-30,221632.66666666666
NV,2018-06-30,325737.6666666667
NY,2018-06-30,185734.61538461538
OH,2018-06-30,141248.6739130435
OK,2018-06-30,153276.6
OR,2018-06-30,345052.5
PA,2018-06-30,160918.67647058822
RI,2018-06-30,327633.0
SC,2018-06-30,236484.7142857143
SD,2018-06-30,231201.77777777778
TN,2018-06-30,192072.76923076922
TX,2018-06-30,217468.87301587302
UT,2018-06-30,365046.44444444444
VA,2018-06-30,232788.92857142858
VT,2018-06-30,272968.5
WA,2018-06-30,331545.6
WI,2018-06-30,203021.65217391305
WV,2018-06-30,152637.375
WY,2018-06-30,301466.55555555556
AK,2018-07-31,302429.25
AL,2018-07-31,186851.75
AR,2018-07-31,151571.84210526315
AZ,2018-07-31,278664.9090909091
CA,2018-07-31,504491.0
CO,2018-07-31,464439.5294117647
CT,2018-07-31,363326.6
DE,2018-07-31,267883.5
FL,2018-07-31,274336.8275862069
GA,2018-07-31,190505.0810810811
HI,2018-07-31,717600.25
IA,2018-07-31,173354.8947368421
ID,2018-07-31,300027.07692307694
IL,2018-07-31,133578.37037037036
IN,2018-07-31,151227.44444444444
KS,2018-07-31,142626.36842105264
KY,2018-07-31,174357.65
LA,2018-07-31,191439.9411764706
MA,2018-07-31,551411.0
MD,2018-07-31,286844.5
ME,2018-07-31,222563.5
MI,2018-07-31,181342.03225806452
MN,2018-07-31,219000.04761904763
MO,2018-07-31,154323.8
MS,2018-07-31,173013.64705882352
MT,2018-07-31,324838.14285714284
NC,2018-07-31,229927.64864864864
ND,2018-07-31,229807.0
NE,2018-07-31,197345.91666666666
NH,2018-07-31,253650.0
NJ,2018-07-31,281174.5
NM,2018-07-31,224710.22222222222
NV,2018-07-31,329667.0
NY,2018-07-31,188577.57692307694
OH,2018-07-31,142247.8260869565
OK,2018-07-31,153073.2
OR,2018-07-31,347066.25
PA,2018-07-31,162172.0294117647
RI,2018-07-31,329300.0
SC,2018-07-31,239195.0
SD,2018-07-31,229816.77777777778
TN,2018-07-31,194120.38461538462
TX,2018-07-31,217732.92063492062
UT,2018-07-31,363326.0
VA,2018-07-31,232889.14285714287
VT,2018-07-31,276714.5
WA,2018-07-31,332909.85
WI,2018-07-31,203497.8260869565
WV,2018-07-31,153239.625
WY,2018-07-31,300403.8888888889
AK,2018-08-31,305712.5
AL,2018-08-31,187115.65
AR,2018-08-31,152665.84210526315
AZ,2018-08-31,279434.7272727273
CA,2018-08-31,501011.5588235294
CO,2018-08-31,465490.23529411765
CT,2018-08-31,360620.0
DE,2018-08-31,267433.5
FL,2018-08-31,274263.724137931
GA,2018-08-31,189853.1891891892
HI,2018-08-31,717850.0
IA,2018-08-31,174005.0
ID,2018-08-31,299521.3076923077
IL,2018-08-31,132454.88888888888
IN,2018-08-31,150136.38888888888
KS,2018-08-31,140646.8947368421
KY,2018-08-31,174106.6
LA,2018-08-31,191106.35294117648
MA,2018-08-31,555077.8333333334
MD,2018-08-31,288752.5
ME,2018-08-31,223342.75
MI,2018-08-31,179890.4516129032
MN,2018-08-31,216266.7619047619
MO,2018-08-31,154119.88
MS,2018-08-31,173083.17647058822
MT,2018-08-31,324008.28571428574
NC,2018-08-31,230123.8108108108
ND,2018-08-31,228150.0
NE,2018-08-31,192048.66666666666
NH,2018-08-31,253030.66666666666
NJ,2018-08-31,280083.25
NM,2018-08-31,225581.16666666666
NV,2018-08-31,329726.1111111111
NY,2018-08-31,189451.73076923078
OH,2018-08-31,141839.78260869565
OK,2018-08-31,152109.9
OR,2018-08-31,346142.05
PA,2018-08-31,162179.64705882352
RI,2018-08-31,329600.0
SC,2018-08-31,240604.2857142857
SD,2018-08-31,226403.55555555556
TN,2018-08-31,194298.26923076922
TX,2018-08-31,216606.4126984127
UT,2018-08-31,360872.1111111111
VA,2018-08-31,231879.57142857142
VT,2018-08-31,277883.5
WA,2018-08-31,330533.8
WI,2018-08-31,203079.60869565216
WV,2018-08-31,153900.125
WY,2018-08-31,298896.1111111111
AK,2018-09-30,306366.75
AL,2018-09-30,186672.15
AR,2018-09-30,153690.26315789475
AZ,2018-09-30,279660.54545454547
CA,2018-09-30,496302.3823529412
CO,2018-09-30,466918.70588235295
CT,2018-09-30,358580.2
DE,2018-09-30,267683.0
FL,2018-09-30,273818.1034482759
GA,2018-09-30,189173.32432432432
HI,2018-09-30,715433.25
IA,2018-09-30,172221.63157894736
ID,2018-09-30,300200.0
IL,2018-09-30,131049.88888888889
IN,2018-09-30,148670.33333333334
KS,2018-09-30,138802.63157894736
KY,2018-09-30,173472.5
LA,2018-09-30,190787.0
MA,2018-09-30,555341.6666666666
MD,2018-09-30,288921.5
ME,2018-09-30,222974.5
MI,2018-09-30,177835.5483870968
MN,2018-09-30,212973.47619047618
MO,2018-09-30,154372.32
MS,2018-09-30,174232.29411764705
MT,2018-09-30,319222.71428571426
NC,2018-09-30,231708.75675675675
ND,2018-09-30,225775.57142857142
NE,2018-09-30,187744.5
NH,2018-09-30,250541.83333333334
NJ,2018-09-30,278883.25
NM,2018-09-30,226204.11111111112
NV,2018-09-30,328742.1111111111
NY,2018-09-30,188956.96153846153
OH,2018-09-30,141433.95652173914
OK,2018-09-30,151680.8
OR,2018-09-30,344360.0
PA,2018-09-30,161032.0294117647
RI,2018-09-30,329900.0
SC,2018-09-30,242381.7142857143
SD,2018-09-30,223651.88888888888
TN,2018-09-30,195048.65384615384
TX,2018-09-30,215474.92063492062
UT,2018-09-30,357711.22222222225
VA,2018-09-30,230266.5
VT,2018-09-30,277908.5
WA,2018-09-30,329404.55
WI,2018-09-30,200920.1739130435
WV,2018-09-30,154285.5
WY,2018-09-30,298137.1111111111
AK,2018-10-31,304166.5
AL,2018-10-31,186091.45
AR,2018-10-31,154288.94736842104
AZ,2018-10-31,280553.0909090909
CA,2018-10-31,492733.4411764706
CO,2018-10-31,468270.5882352941
CT,2018-10-31,356749.8
DE,2018-10-31,268367.0
FL,2018-10-31,273588.8620689655
GA,2018-10-31,188485.35135135136
HI,2018-10-31,709134.75
IA,2018-10-31,170515.94736842104
ID,2018-10-31,301703.3076923077
IL,2018-10-31,129800.81481481482
IN,2018-10-31,147179.0
KS,2018-10-31,137458.63157894736
KY,2018-10-31,172639.2
LA,2018-10-31,190248.64705882352
MA,2018-10-31,551258.5
MD,2018-10-31,288968.5
ME,2018-10-31,221212.5
MI,2018-10-31,176047.83870967742
MN,2018-10-31,210780.09523809524
MO,2018-10-31,154232.72
MS,2018-10-31,173565.17647058822
MT,2018-10-31,316041.5714285714
NC,2018-10-31,231644.1891891892
ND,2018-10-31,223756.57142857142
NE,2018-10-31,186100.66666666666
NH,2018-10-31,249422.16666666666
NJ,2018-10-31,277629.0
NM,2018-10-31,226371.0
NV,2018-10-31,327820.55555555556
NY,2018-10-31,187645.96153846153
OH,2018-10-31,140531.23913043478
OK,2018-10-31,151586.05
OR,2018-10-31,343977.85
PA,2018-10-31,159549.17647058822
RI,2018-10-31,328233.0
SC,2018-10-31,241002.0
SD,2018-10-31,222937.11111111112
TN,2018-10-31,195508.53846153847
TX,2018-10-31,214850.68253968254
UT,2018-10-31,354760.8888888889
VA,2018-10-31,229491.35714285713
VT,2018-10-31,279362.5
WA,2018-10-31,328501.05
WI,2018-10-31,199234.5652173913
WV,2018-10-31,153939.5
WY,2018-10-31,304429.77777777775
AK,2018-11-30,301550.25
AL,2018-11-30,186300.95
AR,2018-11-30,154964.47368421053
AZ,2018-11-30,282596.9090909091
CA,2018-11-30,489707.32352941175
CO,2018-11-30,472274.4705882353
CT,2018-11-30,356043.0
DE,2018-11-30,268366.5
FL,2018-11-30,274607.8275862069
GA,2018-11-30,188159.2162162162
HI,2018-11-30,703426.5
IA,2018-11-30,169040.31578947368
ID,2018-11-30,304855.23076923075
IL,2018-11-30,128711.92592592593
IN,2018-11-30,146555.83333333334
KS,2018-11-30,137103.52631578947
KY,2018-11-30,171961.0
LA,2018-11-30,189900.0588235294
MA,2018-11-30,543450.0
MD,2018-11-30,287521.6666666667
ME,2018-11-30,220654.25
MI,2018-11-30,175110.51612903227
MN,2018-11-30,210124.38095238095
MO,2018-11-30,154450.92
MS,2018-11-30,173726.0588235294
MT,2018-11-30,316554.85714285716
NC,2018-11-30,231860.32432432432
ND,2018-11-30,221158.57142857142
NE,2018-11-30,184445.08333333334
NH,2018-11-30,248791.66666666666
NJ,2018-11-30,276879.25
NM,2018-11-30,228822.16666666666
NV,2018-11-30,328640.44444444444
NY,2018-11-30,185476.84615384616
OH,2018-11-30,139473.95652173914
OK,2018-11-30,151758.55
OR,2018-11-30,345725.4
PA,2018-11-30,158022.67647058822
RI,2018-11-30,324900.0
SC,2018-11-30,239993.14285714287
SD,2018-11-30,225381.44444444444
TN,2018-11-30,196599.96153846153
TX,2018-11-30,214294.92063492062
UT,2018-11-30,355813.0
VA,2018-11-30,229085.57142857142
VT,2018-11-30,278820.75
WA,2018-11-30,328077.0
WI,2018-11-30,197541.8260869565
WV,2018-11-30,153558.25
WY,2018-11-30,310230.77777777775
AK,2018-12-31,296441.75
AL,2018-12-31,185663.55
AR,2018-12-31,154764.1052631579
AZ,2018-12-31,284392.54545454547
CA,2018-12-31,485976.20588235295
CO,2018-12-31,479817.29411764705
CT,2018-12-31,354069.8
DE,2018-12-31,267281.5
FL,2018-12-31,276480.4482758621
GA,2018-12-31,188097.67567567568
HI,2018-12-31,708259.75
IA,2018-12-31,168568.1052631579
ID,2018-12-31,309586.92307692306
IL,2018-12-31,127385.44444444444
IN,2018-12-31,145883.41666666666
KS,2018-12-31,136541.26315789475
KY,2018-12-31,170582.45
LA,2018-12-31,190049.11764705883
MA,2018-12-31,536913.8333333334
MD,2018-12-31,286222.1666666667
ME,2018-12-31,219004.25
MI,2018-12-31,173728.1935483871
MN,2018-12-31,209129.85714285713
MO,2018-12-31,154271.12
MS,2018-12-31,174023.17647058822
MT,2018-12-31,317835.71428571426
NC,2018-12-31,230961.16216216216
ND,2018-12-31,223090.14285714287
NE,2018-12-31,184395.83333333334
NH,2018-12-31,248005.5
NJ,2018-12-31,274587.25
NM,2018-12-31,230469.88888888888
NV,2018-12-31,328008.77777777775
NY,2018-12-31,182955.76923076922
OH,2018-12-31,137967.23913043478
OK,2018-12-31,152638.5
OR,2018-12-31,348372.1
PA,2018-12-31,156459.76470588235
RI,2018-12-31,321567.0
SC,2018-12-31,237677.7857142857
SD,2018-12-31,230047.77777777778
TN,2018-12-31,197087.6923076923
TX,2018-12-31,213542.7142857143
UT,2018-12-31,361570.44444444444
VA,2018-12-31,228275.7142857143
VT,2018-12-31,277912.75
WA,2018-12-31,327138.8
WI,2018-12-31,196756.21739130435
WV,2018-12-31,153137.5
WY,2018-12-31,317906.6666666667
AK,2019-01-31,295187.5
AL,2019-01-31,185084.5
AR,2019-01-31,154261.84210526315
AZ,2019-01-31,284619.1818181818
CA,2019-01-31,482945.0294117647
CO,2019-01-31,487020.5882352941
CT,2019-01-31,351956.8
DE,2019-01-31,265615.0
FL,2019-01-31,277085.6551724138
GA,2019-01-31,188406.0
HI,2019-01-31,715533.25
IA,2019-01-31,167826.0
ID,2019-01-31,312670.53846153844
IL,2019-01-31,126214.77777777778
IN,2019-01-31,146036.30555555556
KS,2019-01-31,136153.05263157896
KY,2019-01-31,169184.95
LA,2019-01-31,190423.88235294117
MA,2019-01-31,533114.0
MD,2019-01-31,283683.5
ME,2019-01-31,218120.75
MI,2019-01-31,171262.90322580645
MN,2019-01-31,209367.33333333334
MO,2019-01-31,154237.0
MS,2019-01-31,174393.23529411765
MT,2019-01-31,318471.4285714286
NC,2019-01-31,230572.35135135136
ND,2019-01-31,222406.7142857143
NE,2019-01-31,183687.5
NH,2019-01-31,248322.16666666666
NJ,2019-01-31,272441.5
NM,2019-01-31,231031.38888888888
NV,2019-01-31,328214.3333333333
NY,2019-01-31,180599.96153846153
OH,2019-01-31,137121.3260869565
OK,2019-01-31,153225.85
OR,2019-01-31,349024.45
PA,2019-01-31,155421.88235294117
RI,2019-01-31,319767.0
SC,2019-01-31,236708.2142857143
SD,2019-01-31,228218.33333333334
TN,2019-01-31,197280.96153846153
TX,2019-01-31,212842.80952380953
UT,2019-01-31,366433.3333333333
VA,2019-01-31,226929.7857142857
VT,2019-01-31,278712.5
WA,2019-01-31,326351.2
WI,2019-01-31,196560.21739130435
WV,2019-01-31,152452.125
WY,2019-01-31,315838.22222222225
AK,2019-02-28,296362.5
AL,2019-02-28,184784.7
AR,2019-02-28,154135.05263157896
AZ,2019-02-28,284947.7272727273
CA,2019-02-28,484052.17647058825
CO,2019-02-28,490156.4705882353
CT,2019-02-28,352686.8
DE,2019-02-28,264765.0
FL,2019-02-28,277235.6551724138
GA,2019-02-28,190046.2972972973
HI,2019-02-28,720116.75
IA,2019-02-28,168375.1052631579
ID,2019-02-28,318055.23076923075
IL,2019-02-28,126557.37037037036
IN,2019-02-28,146641.02777777778
KS,2019-02-28,136806.0
KY,2019-02-28,169294.4
LA,2019-02-28,191282.29411764705
MA,2019-02-28,532750.0
MD,2019-02-28,281641.8333333333
ME,2019-02-28,218570.75
MI,2019-02-28,170894.8064516129
MN,2019-02-28,210643.47619047618
MO,2019-02-28,154433.32
MS,2019-02-28,174433.29411764705
MT,2019-02-28,318216.5714285714
NC,2019-02-28,232235.9189189189
ND,2019-02-28,221775.85714285713
NE,2019-02-28,187010.66666666666
NH,2019-02-28,249877.66666666666
NJ,2019-02-28,272529.0
NM,2019-02-28,231614.27777777778
NV,2019-02-28,329227.6666666667
NY,2019-02-28,180648.11538461538
OH,2019-02-28,137169.78260869565
OK,2019-02-28,153875.05
OR,2019-02-28,351429.45
PA,2019-02-28,155707.9411764706
RI,2019-02-28,321783.0
SC,2019-02-28,236656.92857142858
SD,2019-02-28,225856.44444444444
TN,2019-02-28,197305.3076923077
TX,2019-02-28,213381.26984126985
UT,2019-02-28,372304.55555555556
VA,2019-02-28,227632.92857142858
VT,2019-02-28,280700.0
WA,2019-02-28,329640.4
WI,2019-02-28,198454.26086956522
WV,2019-02-28,152885.5
WY,2019-02-28,318921.0
AK,2019-03-31,303737.25
AL,2019-03-31,186893.05
AR,2019-03-31,154443.42105263157
AZ,2019-03-31,285668.9090909091
CA,2019-03-31,488559.67647058825
CO,2019-03-31,487965.1176470588
CT,2019-03-31,355847.4
DE,2019-03-31,267171.0
FL,2019-03-31,277735.7931034483
GA,2019-03-31,192269.67567567568
HI,2019-03-31,713533.5
IA,2019-03-31,169870.94736842104
ID,2019-03-31,322239.6923076923
IL,2019-03-31,128067.85185185185
IN,2019-03-31,149148.58333333334
KS,2019-03-31,138327.63157894736
KY,2019-03-31,170692.05
LA,2019-03-31,193155.0588235294
MA,2019-03-31,535738.8333333334
MD,2019-03-31,281291.6666666667
ME,2019-03-31,221954.25
MI,2019-03-31,173267.4193548387
MN,2019-03-31,214545.19047619047
MO,2019-03-31,156203.32
MS,2019-03-31,174540.17647058822
MT,2019-03-31,318866.4285714286
NC,2019-03-31,233960.83783783784
ND,2019-03-31,219267.0
NE,2019-03-31,190961.16666666666
NH,2019-03-31,252830.66666666666
NJ,2019-03-31,275445.75
NM,2019-03-31,233172.22222222222
NV,2019-03-31,332111.22222222225
NY,2019-03-31,182412.23076923078
OH,2019-03-31,139115.4347826087
OK,2019-03-31,154440.85
OR,2019-03-31,354258.9
PA,2019-03-31,157808.79411764705
RI,2019-03-31,326817.0
SC,2019-03-31,238082.57142857142
SD,2019-03-31,221990.0
TN,2019-03-31,198453.03846153847
TX,2019-03-31,214716.04761904763
UT,2019-03-31,375360.3333333333
VA,2019-03-31,230339.0
VT,2019-03-31,282450.0
WA,2019-03-31,333136.55
WI,2019-03-31,201830.21739130435
WV,2019-03-31,153600.125
WY,2019-03-31,324200.55555555556
AK,2019-04-30,310108.25
AL,2019-04-30,190662.05
AR,2019-04-30,156394.05263157896
