StateName,Date,Value
AK,2018-04-30,271.0
AL,2018-04-30,335.3
AR,2018-04-30,204.23529411764707
AZ,2018-04-30,1196.0
CA,2018-04-30,1104.1470588235295
CO,2018-04-30,616.1875
CT,2018-04-30,1167.6
DE,2018-04-30,681.0
FL,2018-04-30,1593.0
GA,2018-04-30,417.1621621621622
HI,2018-04-30,499.75
IA,2018-04-30,209.1875
ID,2018-04-30,237.6153846153846
IL,2018-04-30,711.6666666666666
IN,2018-04-30,184.62857142857143
KS,2018-04-30,117.38888888888889
KY,2018-04-30,226.68421052631578
LA,2018-04-30,276.47058823529414
MA,2018-04-30,1370.0
MD,2018-04-30,845.5
ME,2018-04-30,313.75
MI,2018-04-30,382.4516129032258
MN,2018-04-30,347.4761904761905
MO,2018-04-30,448.08
MS,2018-04-30,142.875
MT,2018-04-30,170.57142857142858
NC,2018-04-30,403.1081081081081
ND,2018-04-30,159.4
NE,2018-04-30,192.0
NH,2018-04-30,252.66666666666666
NJ,2018-04-30,471.0
NM,2018-04-30,160.1875
NV,2018-04-30,677.375
NY,2018-04-30,1129.6923076923076
OH,2018-04-30,329.3478260869565
OK,2018-04-30,257.1
OR,2018-04-30,388.42105263157896
PA,2018-04-30,523.5294117647059
RI,2018-04-30,1831.0
SC,2018-04-30,646.9285714285714
SD,2018-04-30,125.0
TN,2018-04-30,351.9230769230769
TX,2018-04-30,580.5254237288135
UT,2018-04-30,451.0
VA,2018-04-30,1198.642857142857
VT,2018-04-30,101.75
WA,2018-04-30,484.7368421052632
WI,2018-04-30,243.43478260869566
WV,2018-04-30,113.0
WY,2018-04-30,85.0
AK,2018-05-31,320.3333333333333
AL,2018-05-31,355.65
AR,2018-05-31,226.76470588235293
AZ,2018-05-31,1212.4545454545455
CA,2018-05-31,1206.8529411764705
CO,2018-05-31,711.5625
CT,2018-05-31,1334.4
DE,2018-05-31,692.0
FL,2018-05-31,1588.4642857142858
GA,2018-05-31,450.43243243243245
HI,2018-05-31,487.0
IA,2018-05-31,240.0625
ID,2018-05-31,280.15384615384613
IL,2018-05-31,793.8518518518518
IN,2018-05-31,214.97142857142856
KS,2018-05-31,132.88888888888889
KY,2018-05-31,252.21052631578948
LA,2018-05-31,299.4117647058824
MA,2018-05-31,1722.3333333333333
MD,2018-05-31,962.3333333333334
ME,2018-05-31,425.25
MI,2018-05-31,477.258064516129
MN,2018-05-31,427.23809523809524
MO,2018-05-31,513.92
MS,2018-05-31,161.1875
MT,2018-05-31,218.14285714285714
NC,2018-05-31,449.64864864864865
ND,2018-05-31,197.6
NE,2018-05-31,228.1818181818182
NH,2018-05-31,325.3333333333333
NJ,2018-05-31,495.5
NM,2018-05-31,176.4375
NV,2018-05-31,709.625
NY,2018-05-31,1225.3461538461538
OH,2018-05-31,384.1521739130435
OK,2018-05-31,279.95
OR,2018-05-31,456.05263157894734
PA,2018-05-31,604.9705882352941
RI,2018-05-31,2294.0
SC,2018-05-31,675.4285714285714
SD,2018-05-31,151.85714285714286
TN,2018-05-31,395.5
TX,2018-05-31,647.4067796610169
UT,2018-05-31,525.0
VA,2018-05-31,1348.7142857142858
VT,2018-05-31,130.5
WA,2018-05-31,610.4736842105264
WI,2018-05-31,288.5217391304348
WV,2018-05-31,124.57142857142857
WY,2018-05-31,99.88888888888889
AK,2018-06-30,326.3333333333333
AL,2018-06-30,355.4
AR,2018-06-30,234.23529411764707
AZ,2018-06-30,1163.090909090909
CA,2018-06-30,1247.0588235294117
CO,2018-06-30,751.125
CT,2018-06-30,1390.0
DE,2018-06-30,647.5
FL,2018-06-30,1499.392857142857
GA,2018-06-30,462.86486486486484
HI,2018-06-30,440.0
IA,2018-06-30,235.625
ID,2018-06-30,309.15384615384613
